"total_tokens","_step","_step__MIN","_step__MAX","val_loss_1","val_loss_1__MIN","val_loss_1__MAX","val_loss_2","val_loss_2__MIN","val_loss_2__MAX","val_loss_4","val_loss_4__MIN","val_loss_4__MAX","val_loss_8","val_loss_8__MIN","val_loss_8__MAX","val_loss_16","val_loss_16__MIN","val_loss_16__MAX"
"8388608","31","31","31","9.215763092041016","9.215763092041016","9.215763092041016","8.585659980773926","8.585659980773926","8.585659980773926","8.36126708984375","8.36126708984375","8.36126708984375","8.30584716796875","8.30584716796875","8.30584716796875","8.307520866394043","8.307520866394043","8.307520866394043"
"16777216","63","63","63","6.855336666107178","6.855336666107178","6.855336666107178","6.657233238220215","6.657233238220215","6.657233238220215","6.563464164733887","6.563464164733887","6.563464164733887","6.547102928161621","6.547102928161621","6.547102928161621","6.546771049499512","6.546771049499512","6.546771049499512"
"25165824","95","95","95","6.349758148193359","6.349758148193359","6.349758148193359","6.002297401428223","6.002297401428223","6.002297401428223","5.860225677490234","5.860225677490234","5.860225677490234","5.842913627624512","5.842913627624512","5.842913627624512","5.84304141998291","5.84304141998291","5.84304141998291"
"33554432","127","127","127","5.935423374176025","5.935423374176025","5.935423374176025","5.592358112335205","5.592358112335205","5.592358112335205","5.485891819000244","5.485891819000244","5.485891819000244","5.479511737823486","5.479511737823486","5.479511737823486","5.47967529296875","5.47967529296875","5.47967529296875"
"41943040","159","159","159","5.669752597808838","5.669752597808838","5.669752597808838","5.299563407897949","5.299563407897949","5.299563407897949","5.21834659576416","5.21834659576416","5.21834659576416","5.214998245239258","5.214998245239258","5.214998245239258","5.214944362640381","5.214944362640381","5.214944362640381"
"50331648","191","191","191","5.397881507873535","5.397881507873535","5.397881507873535","5.061275005340576","5.061275005340576","5.061275005340576","4.997525691986084","4.997525691986084","4.997525691986084","4.9959282875061035","4.9959282875061035","4.9959282875061035","4.995765686035156","4.995765686035156","4.995765686035156"
"58720256","223","223","223","5.245666980743408","5.245666980743408","5.245666980743408","4.906274318695068","4.906274318695068","4.906274318695068","4.8455729484558105","4.8455729484558105","4.8455729484558105","4.843316078186035","4.843316078186035","4.843316078186035","4.843218803405762","4.843218803405762","4.843218803405762"
"67108864","255","255","255","5.099137783050537","5.099137783050537","5.099137783050537","4.770725727081299","4.770725727081299","4.770725727081299","4.711164474487305","4.711164474487305","4.711164474487305","4.7087225914001465","4.7087225914001465","4.7087225914001465","4.70877742767334","4.70877742767334","4.70877742767334"
"75497472","287","287","287","4.970824241638184","4.970824241638184","4.970824241638184","4.652247905731201","4.652247905731201","4.652247905731201","4.595053672790527","4.595053672790527","4.595053672790527","4.592573165893555","4.592573165893555","4.592573165893555","4.592499256134033","4.592499256134033","4.592499256134033"
"83886080","319","319","319","4.8949737548828125","4.8949737548828125","4.8949737548828125","4.548501014709473","4.548501014709473","4.548501014709473","4.489349842071533","4.489349842071533","4.489349842071533","4.4870476722717285","4.4870476722717285","4.4870476722717285","4.4870476722717285","4.4870476722717285","4.4870476722717285"
"92274688","351","351","351","4.8028764724731445","4.8028764724731445","4.8028764724731445","4.470082759857178","4.470082759857178","4.470082759857178","4.4072585105896","4.4072585105896","4.4072585105896","4.40311861038208","4.40311861038208","4.40311861038208","4.403140544891357","4.403140544891357","4.403140544891357"
"100663296","383","383","383","4.70448637008667","4.70448637008667","4.70448637008667","4.363626003265381","4.363626003265381","4.363626003265381","4.296881675720215","4.296881675720215","4.296881675720215","4.29265022277832","4.29265022277832","4.29265022277832","4.292764186859131","4.292764186859131","4.292764186859131"
"109051904","415","415","415","4.623074531555176","4.623074531555176","4.623074531555176","4.261451721191406","4.261451721191406","4.261451721191406","4.1887526512146","4.1887526512146","4.1887526512146","4.184401035308838","4.184401035308838","4.184401035308838","4.184505939483643","4.184505939483643","4.184505939483643"
"117440512","447","447","447","4.5430145263671875","4.5430145263671875","4.5430145263671875","4.178121566772461","4.178121566772461","4.178121566772461","4.100987434387207","4.100987434387207","4.100987434387207","4.096580982208252","4.096580982208252","4.096580982208252","4.0965399742126465","4.0965399742126465","4.0965399742126465"
"125829120","479","479","479","4.459689140319824","4.459689140319824","4.459689140319824","4.097114086151123","4.097114086151123","4.097114086151123","4.019709587097168","4.019709587097168","4.019709587097168","4.014987468719482","4.014987468719482","4.014987468719482","4.01517391204834","4.01517391204834","4.01517391204834"
"134217728","511","511","511","4.369383335113525","4.369383335113525","4.369383335113525","4.02997350692749","4.02997350692749","4.02997350692749","3.956712484359741","3.956712484359741","3.956712484359741","3.9515655040740967","3.9515655040740967","3.9515655040740967","3.951436758041382","3.951436758041382","3.951436758041382"
"142606336","543","543","543","4.299649715423584","4.299649715423584","4.299649715423584","3.9697675704956055","3.9697675704956055","3.9697675704956055","3.8947770595550537","3.8947770595550537","3.8947770595550537","3.889399290084839","3.889399290084839","3.889399290084839","3.889268159866333","3.889268159866333","3.889268159866333"
"150994944","575","575","575","4.264369964599609","4.264369964599609","4.264369964599609","3.9355781078338623","3.9355781078338623","3.9355781078338623","3.8606953620910645","3.8606953620910645","3.8606953620910645","3.8556339740753174","3.8556339740753174","3.8556339740753174","3.855581045150757","3.855581045150757","3.855581045150757"
"159383552","607","607","607","4.231137752532959","4.231137752532959","4.231137752532959","3.895854949951172","3.895854949951172","3.895854949951172","3.819106340408325","3.819106340408325","3.819106340408325","3.8133883476257324","3.8133883476257324","3.8133883476257324","3.813317060470581","3.813317060470581","3.813317060470581"
"167772160","639","639","639","4.174708843231201","4.174708843231201","4.174708843231201","3.849815845489502","3.849815845489502","3.849815845489502","3.7797679901123047","3.7797679901123047","3.7797679901123047","3.773845672607422","3.773845672607422","3.773845672607422","3.7738349437713623","3.7738349437713623","3.7738349437713623"
"176160768","671","671","671","4.157065391540527","4.157065391540527","4.157065391540527","3.824115514755249","3.824115514755249","3.824115514755249","3.750704765319824","3.750704765319824","3.750704765319824","3.745736837387085","3.745736837387085","3.745736837387085","3.7456881999969482","3.7456881999969482","3.7456881999969482"
"184549376","703","703","703","4.116626262664795","4.116626262664795","4.116626262664795","3.7955546379089355","3.7955546379089355","3.7955546379089355","3.7214038372039795","3.7214038372039795","3.7214038372039795","3.715848922729492","3.715848922729492","3.715848922729492","3.7157843112945557","3.7157843112945557","3.7157843112945557"
"192937984","735","735","735","4.079549312591553","4.079549312591553","4.079549312591553","3.7600932121276855","3.7600932121276855","3.7600932121276855","3.6877517700195312","3.6877517700195312","3.6877517700195312","3.6821048259735107","3.6821048259735107","3.6821048259735107","3.682063579559326","3.682063579559326","3.682063579559326"
"201326592","767","767","767","4.043145179748535","4.043145179748535","4.043145179748535","3.736884117126465","3.736884117126465","3.736884117126465","3.6666417121887207","3.6666417121887207","3.6666417121887207","3.661660671234131","3.661660671234131","3.661660671234131","3.661597728729248","3.661597728729248","3.661597728729248"
"209715200","799","799","799","4.015800476074219","4.015800476074219","4.015800476074219","3.711071491241455","3.711071491241455","3.711071491241455","3.63848614692688","3.63848614692688","3.63848614692688","3.6325013637542725","3.6325013637542725","3.6325013637542725","3.6323208808898926","3.6323208808898926","3.6323208808898926"
