optimizer_step,_step,_step__MIN,_step__MAX,global_grad_norm,global_grad_norm__MIN,global_grad_norm__MAX,,,,,,
0,0,0,0,0,0,0,,,,,,
1,1,1,1,1.47228527069092,1.47228527069092,1.47228527069092,,,,,,
2,3,3,3,1.57959854602814,1.57959854602814,1.57959854602814,,,,,,
3,5,5,5,1.46863210201263,1.46863210201263,1.46863210201263,,,,,,
4,7,7,7,1.76517021656036,1.76517021656036,1.76517021656036,,,,,,
5,9,9,9,1.98153686523438,1.98153686523438,1.98153686523438,,,,,,
6,11,11,11,1.92529535293579,1.92529535293579,1.92529535293579,,,,,,
7,13,13,13,1.84069406986237,1.84069406986237,1.84069406986237,,,,,,
8,15,15,15,1.77796912193298,1.77796912193298,1.77796912193298,,,,,,
9,17,17,17,1.73236954212189,1.73236954212189,1.73236954212189,,,,,,
10,19,19,19,1.56836247444153,1.56836247444153,1.56836247444153,,,,,,
11,21,21,21,1.62737441062927,1.62737441062927,1.62737441062927,,,,,,
12,23,23,23,1.73255693912506,1.73255693912506,1.73255693912506,,,,,,
13,25,25,25,1.57589614391327,1.57589614391327,1.57589614391327,,,,,,
14,27,27,27,1.52553391456604,1.52553391456604,1.52553391456604,,,,,,
15,29,29,29,1.42106890678406,1.42106890678406,1.42106890678406,,,,,,
16,31,31,31,1.32756650447845,1.32756650447845,1.32756650447845,,,,,,
17,33,33,33,10.1609287261963,10.1609287261963,10.1609287261963,,,,,,
18,35,35,35,2.27824759483337,2.27824759483337,2.27824759483337,,,,,,
19,37,37,37,1.437824010849,1.437824010849,1.437824010849,,,,,,
20,39,39,39,1.53779077529907,1.53779077529907,1.53779077529907,,,,,,
21,41,41,41,1.46689772605896,1.46689772605896,1.46689772605896,,,,,,
22,43,43,43,1.94166791439056,1.94166791439056,1.94166791439056,,,,,,
23,45,45,45,1.1657749414444,1.1657749414444,1.1657749414444,,,,,,
24,47,47,47,1.00677525997162,1.00677525997162,1.00677525997162,,,,,,
25,49,49,49,1.05141448974609,1.05141448974609,1.05141448974609,,,,,,
26,51,51,51,0.98047935962677,0.98047935962677,0.98047935962677,,,,,,
27,53,53,53,1.03226757049561,1.03226757049561,1.03226757049561,,,,,,
28,55,55,55,0.895072519779205,0.895072519779205,0.895072519779205,,,,,,
29,57,57,57,1.00484156608582,1.00484156608582,1.00484156608582,,,,,,
30,59,59,59,0.80312979221344,0.80312979221344,0.80312979221344,,,,,,
31,61,61,61,0.908408224582672,0.908408224582672,0.908408224582672,,,,,,
32,63,63,63,0.775972723960877,0.775972723960877,0.775972723960877,,,,,,
33,65,65,65,0.753049850463867,0.753049850463867,0.753049850463867,,,,,,
34,67,67,67,0.797502338886261,0.797502338886261,0.797502338886261,,,,,,
