optimizer_step,_step,_step__MIN,_step__MAX,global_loss,global_loss__MIN,global_loss__MAX,,,,,,
0,0,0,0,10.5628032684326,10.5628032684326,10.5628032684326,,,,,,
1,1.5,1,2,10.5536150932312,10.5528421401978,10.5543880462646,,,,,,
2,3.5,3,4,10.2951283454895,10.0433235168457,10.5469331741333,,,,,,
3,5.5,5,6,9.85368728637695,9.8410701751709,9.86630439758301,,,,,,
4,7.5,7,8,9.65623283386231,9.64025497436523,9.67221069335938,,,,,,
5,9.5,9,10,9.39532566070557,9.35065841674805,9.43999290466309,,,,,,
6,11.5,11,12,9.30574226379395,9.24607658386231,9.36540794372559,,,,,,
7,13.5,13,14,9.19299030303955,9.18273735046387,9.20324325561523,,,,,,
8,15.5,15,16,9.11129093170166,9.11110305786133,9.11147880554199,,,,,,
9,17.5,17,18,8.97652196884155,8.9512243270874,9.0018196105957,,,,,,
10,19.5,19,20,8.91534566879273,8.85935878753662,8.97133255004883,,,,,,
11,21.5,21,22,8.90641069412231,8.85364723205566,8.95917415618897,,,,,,
12,23.5,23,24,8.78679132461548,8.77909278869629,8.79448986053467,,,,,,
13,25.5,25,26,8.71130037307739,8.65048217773438,8.77211856842041,,,,,,
14,27.5,27,28,8.685706615448,8.63161182403565,8.73980140686035,,,,,,
15,29.5,29,30,8.54300928115845,8.52602100372315,8.55999755859375,,,,,,
16,31.5,31,32,8.88358688354492,8.45170116424561,9.31547260284424,,,,,,
17,33.5,33,34,8.93968772888184,8.66464233398438,9.2147331237793,,,,,,
18,35.5,35,36,8.50878810882568,8.49562454223633,8.52195167541504,,,,,,
19,37.5,37,38,8.41011238098145,8.3592586517334,8.46096611022949,,,,,,
20,39.5,39,40,8.39708757400513,8.3352861404419,8.45888900756836,,,,,,
21,41.5,41,42,8.31661653518677,8.25089740753174,8.3823356628418,,,,,,
22,43.5,43,44,8.16679239273071,8.13251876831055,8.20106601715088,,,,,,
23,45.5,45,46,8.16559219360352,8.16431045532227,8.16687393188477,,,,,,
24,47.5,47,48,8.13125896453857,8.12676239013672,8.13575553894043,,,,,,
25,49.5,49,50,7.94540882110596,7.87597846984863,8.01483917236328,,,,,,
26,51.5,51,52,7.97140574455261,7.91275358200073,8.03005790710449,,,,,,
27,53.5,53,54,7.84216165542603,7.80229473114014,7.88202857971191,,,,,,
28,55.5,55,56,7.7980637550354,7.78795719146729,7.80817031860352,,,,,,
29,57.5,57,58,7.78315091133118,7.77440977096558,7.79189205169678,,,,,,
30,59.5,59,60,7.66033720970154,7.6345329284668,7.68614149093628,,,,,,
31,61.5,61,62,7.54699850082398,7.54550647735596,7.54849052429199,,,,,,
