"optimizer_step","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - global_loss","recur1b-mig-212 - global_loss__MIN","recur1b-mig-212 - global_loss__MAX"
"0","0","0","0","10.562803268432617","10.562803268432617","10.562803268432617"
"1","1.5","1","2","10.553615093231201","10.552842140197754","10.554388046264648"
"2","3.5","3","4","10.295128345489502","10.043323516845703","10.5469331741333"
"3","5.5","5","6","9.853687286376953","9.841070175170898","9.866304397583008"
"4","7.5","7","8","9.656232833862305","9.640254974365234","9.672210693359375"
"5","9.5","9","10","9.395325660705566","9.350658416748047","9.439992904663086"
"6","11.5","11","12","9.305742263793945","9.246076583862305","9.365407943725586"
"7","13.5","13","14","9.19299030303955","9.182737350463867","9.203243255615234"
"8","15.5","15","16","9.11129093170166","9.111103057861328","9.111478805541992"
"9","17.5","17","18","8.976521968841553","8.951224327087402","9.001819610595703"
"10","19.5","19","20","8.915345668792725","8.859358787536621","8.971332550048828"
"11","21.5","21","22","8.906410694122314","8.853647232055664","8.959174156188965"
"12","23.5","23","24","8.786791324615479","8.779092788696289","8.794489860534668"
"13","25.5","25","26","8.711300373077393","8.650482177734375","8.77211856842041"
"14","27.5","27","28","8.685706615447998","8.631611824035645","8.739801406860352"
"15","29.5","29","30","8.543009281158447","8.526021003723145","8.55999755859375"
"16","31.5","31","32","8.883586883544922","8.451701164245605","9.315472602844238"
"17","33.5","33","34","8.939687728881836","8.664642333984375","9.214733123779297"
"18","35.5","35","36","8.508788108825684","8.495624542236328","8.521951675415039"
"19","37.5","37","38","8.410112380981445","8.359258651733398","8.460966110229492"
"20","39.5","39","40","8.397087574005127","8.335286140441895","8.45888900756836"
"21","41.5","41","42","8.316616535186768","8.250897407531738","8.382335662841797"
"22","43.5","43","44","8.166792392730713","8.132518768310547","8.201066017150879"
"23","45.5","45","46","8.165592193603516","8.164310455322266","8.166873931884766"
"24","47.5","47","48","8.131258964538574","8.126762390136719","8.13575553894043"
"25","49.5","49","50","7.945408821105957","7.875978469848633","8.014839172363281"
"26","51.5","51","52","7.971405744552612","7.912753582000732","8.030057907104492"
"27","53.5","53","54","7.842161655426025","7.802294731140137","7.882028579711914"
"28","55.5","55","56","7.7980637550354","7.787957191467285","7.808170318603516"
"29","57.5","57","58","7.783150911331177","7.774409770965576","7.791892051696777"
"30","59.5","59","60","7.660337209701538","7.634532928466797","7.686141490936279"
