"total_tokens","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - val_loss_1","recur1b-mig-212 - val_loss_1__MIN","recur1b-mig-212 - val_loss_1__MAX","recur1b-mig-212 - val_loss_2","recur1b-mig-212 - val_loss_2__MIN","recur1b-mig-212 - val_loss_2__MAX","recur1b-mig-212 - val_loss_4","recur1b-mig-212 - val_loss_4__MIN","recur1b-mig-212 - val_loss_4__MAX","recur1b-mig-212 - val_loss_8","recur1b-mig-212 - val_loss_8__MIN","recur1b-mig-212 - val_loss_8__MAX","recur1b-mig-212 - val_loss_16","recur1b-mig-212 - val_loss_16__MIN","recur1b-mig-212 - val_loss_16__MAX"
"33554432","31","31","31","10.049283981323242","10.049283981323242","10.049283981323242","9.681154251098633","9.681154251098633","9.681154251098633","9.543536186218262","9.543536186218262","9.543536186218262","9.501579284667969","9.501579284667969","9.501579284667969","9.4811429977417","9.4811429977417","9.4811429977417"
"67108864","63","63","63","7.752114295959473","7.752114295959473","7.752114295959473","7.664586544036865","7.664586544036865","7.664586544036865","7.630918979644775","7.630918979644775","7.630918979644775","7.622753143310547","7.622753143310547","7.622753143310547","7.622493743896484","7.622493743896484","7.622493743896484"
"100663296","95","95","95","7.1197028160095215","7.1197028160095215","7.1197028160095215","6.969860553741455","6.969860553741455","6.969860553741455","6.913377285003662","6.913377285003662","6.913377285003662","6.9016008377075195","6.9016008377075195","6.9016008377075195","6.901212215423584","6.901212215423584","6.901212215423584"
"134217728","127","127","127","6.812151908874512","6.812151908874512","6.812151908874512","6.585270881652832","6.585270881652832","6.585270881652832","6.481326580047607","6.481326580047607","6.481326580047607","6.4639763832092285","6.4639763832092285","6.4639763832092285","6.463515281677246","6.463515281677246","6.463515281677246"
"167772160","159","159","159","6.563268661499023","6.563268661499023","6.563268661499023","6.251795768737793","6.251795768737793","6.251795768737793","6.110212326049805","6.110212326049805","6.110212326049805","6.085843563079834","6.085843563079834","6.085843563079834","6.085168838500977","6.085168838500977","6.085168838500977"
"201326592","191","191","191","6.386402130126953","6.386402130126953","6.386402130126953","6.015580654144287","6.015580654144287","6.015580654144287","5.856619834899902","5.856619834899902","5.856619834899902","5.829416275024414","5.829416275024414","5.829416275024414","5.8286285400390625","5.8286285400390625","5.8286285400390625"
"234881024","223","223","223","6.252353191375732","6.252353191375732","6.252353191375732","5.841665267944336","5.841665267944336","5.841665267944336","5.67010498046875","5.67010498046875","5.67010498046875","5.642218589782715","5.642218589782715","5.642218589782715","5.641350269317627","5.641350269317627","5.641350269317627"
"268435456","255","255","255","6.160725116729736","6.160725116729736","6.160725116729736","5.718517780303955","5.718517780303955","5.718517780303955","5.536145210266113","5.536145210266113","5.536145210266113","5.508431434631348","5.508431434631348","5.508431434631348","5.508298873901367","5.508298873901367","5.508298873901367"
"301989888","287","287","287","6.071567535400391","6.071567535400391","6.071567535400391","5.605956554412842","5.605956554412842","5.605956554412842","5.4169206619262695","5.4169206619262695","5.4169206619262695","5.3871870040893555","5.3871870040893555","5.3871870040893555","5.386953353881836","5.386953353881836","5.386953353881836"
"335544320","319","319","319","5.992056846618652","5.992056846618652","5.992056846618652","5.51481819152832","5.51481819152832","5.51481819152832","5.3181939125061035","5.3181939125061035","5.3181939125061035","5.287151336669922","5.287151336669922","5.287151336669922","5.286304950714111","5.286304950714111","5.286304950714111"
"369098752","351","351","351","5.924938201904297","5.924938201904297","5.924938201904297","5.4287824630737305","5.4287824630737305","5.4287824630737305","5.2247724533081055","5.2247724533081055","5.2247724533081055","5.192254066467285","5.192254066467285","5.192254066467285","5.191134452819824","5.191134452819824","5.191134452819824"
"402653184","383","383","383","5.886630058288574","5.886630058288574","5.886630058288574","5.363940238952637","5.363940238952637","5.363940238952637","5.151267051696777","5.151267051696777","5.151267051696777","5.117980003356934","5.117980003356934","5.117980003356934","5.116452693939209","5.116452693939209","5.116452693939209"
"436207616","415","415","415","5.848565578460693","5.848565578460693","5.848565578460693","5.307826042175293","5.307826042175293","5.307826042175293","5.082611083984375","5.082611083984375","5.082611083984375","5.046672821044922","5.046672821044922","5.046672821044922","5.045952796936035","5.045952796936035","5.045952796936035"
"469762048","447","447","447","5.810967445373535","5.810967445373535","5.810967445373535","5.240036964416504","5.240036964416504","5.240036964416504","5.003170967102051","5.003170967102051","5.003170967102051","4.964692115783691","4.964692115783691","4.964692115783691","4.963534355163574","4.963534355163574","4.963534355163574"
"503316480","479","479","479","5.787720680236816","5.787720680236816","5.787720680236816","5.192713737487793","5.192713737487793","5.192713737487793","4.939798355102539","4.939798355102539","4.939798355102539","4.897354602813721","4.897354602813721","4.897354602813721","4.896078586578369","4.896078586578369","4.896078586578369"
"536870912","511","511","511","5.753617286682129","5.753617286682129","5.753617286682129","5.1371588706970215","5.1371588706970215","5.1371588706970215","4.875306129455566","4.875306129455566","4.875306129455566","4.828902721405029","4.828902721405029","4.828902721405029","4.827387809753418","4.827387809753418","4.827387809753418"
"570425344","543","543","543","5.731193542480469","5.731193542480469","5.731193542480469","5.093784332275391","5.093784332275391","5.093784332275391","4.815385818481445","4.815385818481445","4.815385818481445","4.764106273651123","4.764106273651123","4.764106273651123","4.762317657470703","4.762317657470703","4.762317657470703"
"603979776","575","575","575","5.714112281799316","5.714112281799316","5.714112281799316","5.054416656494141","5.054416656494141","5.054416656494141","4.7599029541015625","4.7599029541015625","4.7599029541015625","4.704926490783691","4.704926490783691","4.704926490783691","4.703037261962891","4.703037261962891","4.703037261962891"
"637534208","607","607","607","5.707620620727539","5.707620620727539","5.707620620727539","5.0275468826293945","5.0275468826293945","5.0275468826293945","4.717045783996582","4.717045783996582","4.717045783996582","4.656243324279785","4.656243324279785","4.656243324279785","4.654114723205566","4.654114723205566","4.654114723205566"
"671088640","639","639","639","5.676167011260986","5.676167011260986","5.676167011260986","4.982628345489502","4.982628345489502","4.982628345489502","4.657329559326172","4.657329559326172","4.657329559326172","4.592883110046387","4.592883110046387","4.592883110046387","4.590522289276123","4.590522289276123","4.590522289276123"
"704643072","671","671","671","5.661514759063721","5.661514759063721","5.661514759063721","4.947685718536377","4.947685718536377","4.947685718536377","4.610622406005859","4.610622406005859","4.610622406005859","4.542505264282227","4.542505264282227","4.542505264282227","4.539931774139404","4.539931774139404","4.539931774139404"
"738197504","703","703","703","5.646448135375977","5.646448135375977","5.646448135375977","4.9153852462768555","4.9153852462768555","4.9153852462768555","4.563921928405762","4.563921928405762","4.563921928405762","4.493703842163086","4.493703842163086","4.493703842163086","4.491092681884766","4.491092681884766","4.491092681884766"
"771751936","735","735","735","5.631434917449951","5.631434917449951","5.631434917449951","4.88347864151001","4.88347864151001","4.88347864151001","4.5191650390625","4.5191650390625","4.5191650390625","4.445736885070801","4.445736885070801","4.445736885070801","4.442849636077881","4.442849636077881","4.442849636077881"
"805306368","767","767","767","5.625871658325195","5.625871658325195","5.625871658325195","4.853419303894043","4.853419303894043","4.853419303894043","4.478824138641357","4.478824138641357","4.478824138641357","4.4024128913879395","4.4024128913879395","4.4024128913879395","4.399604797363281","4.399604797363281","4.399604797363281"
"838860800","799","799","799","5.610934734344482","5.610934734344482","5.610934734344482","4.827361106872559","4.827361106872559","4.827361106872559","4.443352699279785","4.443352699279785","4.443352699279785","4.362604141235352","4.362604141235352","4.362604141235352","4.359590530395508","4.359590530395508","4.359590530395508"
"872415232","831","831","831","5.603667259216309","5.603667259216309","5.603667259216309","4.800771713256836","4.800771713256836","4.800771713256836","4.4036173820495605","4.4036173820495605","4.4036173820495605","4.32138729095459","4.32138729095459","4.32138729095459","4.317935943603516","4.317935943603516","4.317935943603516"
