"optimizer_step","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - word_embed_l2_param_norm","recur1b-mig-212 - word_embed_l2_param_norm__MIN","recur1b-mig-212 - word_embed_l2_param_norm__MAX"
"1","1","1","1","114.48667907714844","114.48667907714844","114.48667907714844"
"2","3","3","3","114.47352600097656","114.47352600097656","114.47352600097656"
"3","5","5","5","114.46688842773438","114.46688842773438","114.46688842773438"
"4","7","7","7","114.45956420898438","114.45956420898438","114.45956420898438"
"5","9","9","9","114.45255279541016","114.45255279541016","114.45255279541016"
"6","11","11","11","114.44587707519531","114.44587707519531","114.44587707519531"
"7","13","13","13","114.43916320800781","114.43916320800781","114.43916320800781"
"8","15","15","15","114.43236541748047","114.43236541748047","114.43236541748047"
"9","17","17","17","114.42539978027344","114.42539978027344","114.42539978027344"
"10","19","19","19","114.41867065429688","114.41867065429688","114.41867065429688"
"11","21","21","21","114.41165161132812","114.41165161132812","114.41165161132812"
"12","23","23","23","114.40424346923828","114.40424346923828","114.40424346923828"
"13","25","25","25","114.39714813232422","114.39714813232422","114.39714813232422"
"14","27","27","27","114.39032745361328","114.39032745361328","114.39032745361328"
"15","29","29","29","114.38381958007812","114.38381958007812","114.38381958007812"
"16","31","31","31","114.37755584716797","114.37755584716797","114.37755584716797"
"17","33","33","33","114.36983489990234","114.36983489990234","114.36983489990234"
"18","35","35","35","114.36290740966797","114.36290740966797","114.36290740966797"
"19","37","37","37","114.35746765136719","114.35746765136719","114.35746765136719"
"20","39","39","39","114.3526611328125","114.3526611328125","114.3526611328125"
"21","41","41","41","114.34876251220703","114.34876251220703","114.34876251220703"
"22","43","43","43","114.34624481201172","114.34624481201172","114.34624481201172"
"23","45","45","45","114.34429931640625","114.34429931640625","114.34429931640625"
"24","47","47","47","114.3431396484375","114.3431396484375","114.3431396484375"
"25","49","49","49","114.34355163574219","114.34355163574219","114.34355163574219"
"26","51","51","51","114.34524536132812","114.34524536132812","114.34524536132812"
"27","53","53","53","114.34891510009766","114.34891510009766","114.34891510009766"
"28","55","55","55","114.35441589355469","114.35441589355469","114.35441589355469"
"29","57","57","57","114.36250305175781","114.36250305175781","114.36250305175781"
"30","59","59","59","114.3731460571289","114.3731460571289","114.3731460571289"
"31","61","61","61","114.38693237304688","114.38693237304688","114.38693237304688"
"32","63","63","63","114.40416717529297","114.40416717529297","114.40416717529297"
"33","65","65","65","114.42520904541016","114.42520904541016","114.42520904541016"
"34","67","67","67","114.45002746582031","114.45002746582031","114.45002746582031"
"35","69","69","69","114.47848510742188","114.47848510742188","114.47848510742188"
"36","71","71","71","114.5102767944336","114.5102767944336","114.5102767944336"
"37","73","73","73","114.54529571533203","114.54529571533203","114.54529571533203"
"38","75","75","75","114.5833740234375","114.5833740234375","114.5833740234375"
"39","77","77","77","114.62443542480469","114.62443542480469","114.62443542480469"
"40","79","79","79","114.6683349609375","114.6683349609375","114.6683349609375"
"41","81","81","81","114.71479797363281","114.71479797363281","114.71479797363281"
"42","83","83","83","114.76374053955078","114.76374053955078","114.76374053955078"
"43","85","85","85","114.81499481201172","114.81499481201172","114.81499481201172"
"44","87","87","87","114.86844635009766","114.86844635009766","114.86844635009766"
"45","89","89","89","114.92375183105469","114.92375183105469","114.92375183105469"
"46","91","91","91","114.98075866699219","114.98075866699219","114.98075866699219"
"47","93","93","93","115.03932189941406","115.03932189941406","115.03932189941406"
"48","95","95","95","115.0993881225586","115.0993881225586","115.0993881225586"
"49","97","97","97","115.1607894897461","115.1607894897461","115.1607894897461"
"50","99","99","99","115.22364807128906","115.22364807128906","115.22364807128906"
"51","101","101","101","115.28777313232422","115.28777313232422","115.28777313232422"
"52","103","103","103","115.35321807861328","115.35321807861328","115.35321807861328"
"53","105","105","105","115.41986846923828","115.41986846923828","115.41986846923828"
"54","107","107","107","115.48790740966797","115.48790740966797","115.48790740966797"
"55","109","109","109","115.55707550048828","115.55707550048828","115.55707550048828"
"56","111","111","111","115.62744903564453","115.62744903564453","115.62744903564453"
"57","113","113","113","115.69906616210938","115.69906616210938","115.69906616210938"
"58","115","115","115","115.77144622802734","115.77144622802734","115.77144622802734"
"59","117","117","117","115.84457397460938","115.84457397460938","115.84457397460938"
"60","119","119","119","115.91883850097656","115.91883850097656","115.91883850097656"
"61","121","121","121","115.9942855834961","115.9942855834961","115.9942855834961"
"62","123","123","123","116.07090759277344","116.07090759277344","116.07090759277344"
"63","125","125","125","116.14804077148438","116.14804077148438","116.14804077148438"
"64","127","127","127","116.22577667236328","116.22577667236328","116.22577667236328"
"65","129","129","129","116.30329132080078","116.30329132080078","116.30329132080078"
"66","131","131","131","116.38017272949219","116.38017272949219","116.38017272949219"
"67","133","133","133","116.45632934570312","116.45632934570312","116.45632934570312"
"68","135","135","135","116.53185272216797","116.53185272216797","116.53185272216797"
"69","137","137","137","116.60669708251953","116.60669708251953","116.60669708251953"
"70","139","139","139","116.68074798583984","116.68074798583984","116.68074798583984"
"71","141","141","141","116.75393676757812","116.75393676757812","116.75393676757812"
"72","143","143","143","116.82650756835938","116.82650756835938","116.82650756835938"
"73","145","145","145","116.89837646484375","116.89837646484375","116.89837646484375"
"74","147","147","147","116.96965026855469","116.96965026855469","116.96965026855469"
"75","149","149","149","117.04032135009766","117.04032135009766","117.04032135009766"
"76","151","151","151","117.1104507446289","117.1104507446289","117.1104507446289"
"77","153","153","153","117.17975616455078","117.17975616455078","117.17975616455078"
"78","155","155","155","117.24859619140625","117.24859619140625","117.24859619140625"
"79","157","157","157","117.3168716430664","117.3168716430664","117.3168716430664"
"80","159","159","159","117.38462829589844","117.38462829589844","117.38462829589844"
"81","161","161","161","117.45171356201172","117.45171356201172","117.45171356201172"
"82","163","163","163","117.51860046386719","117.51860046386719","117.51860046386719"
"83","165","165","165","117.58529663085938","117.58529663085938","117.58529663085938"
"84","167","167","167","117.65180206298828","117.65180206298828","117.65180206298828"
"85","169","169","169","117.71804809570312","117.71804809570312","117.71804809570312"
"86","171","171","171","117.7840347290039","117.7840347290039","117.7840347290039"
"87","173","173","173","117.84952545166016","117.84952545166016","117.84952545166016"
"88","175","175","175","117.9150619506836","117.9150619506836","117.9150619506836"
"89","177","177","177","117.980224609375","117.980224609375","117.980224609375"
