"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - global_grad_norm","recur1b-mig-234 - global_grad_norm__MIN","recur1b-mig-234 - global_grad_norm__MAX"
"1430","0","0","0","0","0","0"
"1431","1","1","1","5.996260166168213","5.996260166168213","5.996260166168213"
"1432","3","3","3","46.16447448730469","46.16447448730469","46.16447448730469"
"1433","5","5","5","12.371084213256836","12.371084213256836","12.371084213256836"
"1434","7","7","7","11.677971839904785","11.677971839904785","11.677971839904785"
"1435","9","9","9","19.193340301513672","19.193340301513672","19.193340301513672"
"1436","11","11","11","7.1595916748046875","7.1595916748046875","7.1595916748046875"
"1437","13","13","13","7.358645439147949","7.358645439147949","7.358645439147949"
"1438","15","15","15","4.116575717926025","4.116575717926025","4.116575717926025"
"1439","17","17","17","4.29276704788208","4.29276704788208","4.29276704788208"
"1440","19","19","19","2.8382604122161865","2.8382604122161865","2.8382604122161865"
"1441","21","21","21","15.031970024108887","15.031970024108887","15.031970024108887"
"1442","23","23","23","8.086030006408691","8.086030006408691","8.086030006408691"
"1443","25","25","25","4.007392406463623","4.007392406463623","4.007392406463623"
"1444","27","27","27","2.925849437713623","2.925849437713623","2.925849437713623"
"1445","29","29","29","2.1350209712982178","2.1350209712982178","2.1350209712982178"
"1446","31","31","31","1.5059986114501953","1.5059986114501953","1.5059986114501953"
"1447","33","33","33","1.2504777908325195","1.2504777908325195","1.2504777908325195"
"1448","35","35","35","1.21449875831604","1.21449875831604","1.21449875831604"
"1449","37","37","37","1.5034680366516113","1.5034680366516113","1.5034680366516113"
"1450","39","39","39","1.2584991455078125","1.2584991455078125","1.2584991455078125"
"1451","41","41","41","0.8520772457122803","0.8520772457122803","0.8520772457122803"
"1452","43","43","43","0.8442301154136658","0.8442301154136658","0.8442301154136658"
"1453","45","45","45","1.1731568574905396","1.1731568574905396","1.1731568574905396"
"1454","47","47","47","0.8723873496055603","0.8723873496055603","0.8723873496055603"
"1455","49","49","49","0.7236074209213257","0.7236074209213257","0.7236074209213257"
"1456","51","51","51","0.6814011931419373","0.6814011931419373","0.6814011931419373"
"1457","53","53","53","0.7346001267433167","0.7346001267433167","0.7346001267433167"
"1458","55","55","55","0.7055448293685913","0.7055448293685913","0.7055448293685913"
"1459","57","57","57","0.5331208109855652","0.5331208109855652","0.5331208109855652"
"1460","59","59","59","0.5850091576576233","0.5850091576576233","0.5850091576576233"
"1461","61","61","61","0.6675785779953003","0.6675785779953003","0.6675785779953003"
"1462","63","63","63","0.7024871110916138","0.7024871110916138","0.7024871110916138"
"1463","65","65","65","0.6638594269752502","0.6638594269752502","0.6638594269752502"
"1464","67","67","67","0.4986479580402374","0.4986479580402374","0.4986479580402374"
"1465","69","69","69","0.4966222941875458","0.4966222941875458","0.4966222941875458"
"1466","71","71","71","0.4846021831035614","0.4846021831035614","0.4846021831035614"
"1467","73","73","73","0.44973626732826233","0.44973626732826233","0.44973626732826233"
