"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - global_loss","recur1b-mig-234 - global_loss__MIN","recur1b-mig-234 - global_loss__MAX"
"1430","0","0","0","4.288774490356445","4.288774490356445","4.288774490356445"
"1431","1.5","1","2","7.790136098861694","6.355069637298584","9.225202560424805"
"1432","3.5","3","4","8.353271007537842","7.370745658874512","9.335796356201172"
"1433","5.5","5","6","7.112371921539307","6.759446144104004","7.465297698974609"
"1434","7.5","7","8","6.768436908721924","6.758941650390625","6.777932167053223"
"1435","9.5","9","10","6.504567861557007","6.123654365539551","6.885481357574463"
"1436","11.5","11","12","6.187279224395752","6.050966262817383","6.323592185974121"
"1437","13.5","13","14","5.969176292419434","5.840054512023926","6.098298072814941"
"1438","15.5","15","16","5.8206188678741455","5.73763370513916","5.903604030609131"
"1439","17.5","17","18","5.724270820617676","5.654911994934082","5.7936296463012695"
"1440","19.5","19","20","5.238198757171631","4.818945407867432","5.65745210647583"
"1441","21.5","21","22","4.653041839599609","4.328733444213867","4.977350234985352"
"1442","23.5","23","24","4.249819755554199","4.0694580078125","4.430181503295898"
"1443","25.5","25","26","3.8399773836135864","3.7018258571624756","3.9781289100646973"
"1444","27.5","27","28","3.6593698263168335","3.5760669708251953","3.7426726818084717"
"1445","29.5","29","30","3.5842082500457764","3.5138161182403564","3.6546003818511963"
"1446","31.5","31","32","3.467378854751587","3.3761050701141357","3.558652639389038"
"1447","33.5","33","34","3.4148879051208496","3.3836216926574707","3.4461541175842285"
"1448","35.5","35","36","3.2609407901763916","3.245819091796875","3.276062488555908"
"1449","37.5","37","38","3.17286217212677","3.1380696296691895","3.2076547145843506"
"1450","39.5","39","40","3.133531928062439","3.123180389404297","3.143883466720581"
"1451","41.5","41","42","3.193593144416809","3.0708556175231934","3.316330671310425"
"1452","43.5","43","44","3.1171759366989136","3.0712952613830566","3.1630566120147705"
"1453","45.5","45","46","3.1272685527801514","3.0975472927093506","3.156989812850952"
"1454","47.5","47","48","3.0981783866882324","3.0643038749694824","3.1320528984069824"
"1455","49.5","49","50","3.0836520195007324","3.020934581756592","3.146369457244873"
"1456","51.5","51","52","3.063278079032898","2.9679408073425293","3.1586153507232666"
"1457","53.5","53","54","3.0369181632995605","2.986154794692993","3.087681531906128"
"1458","55.5","55","56","3.0446596145629883","3.012653350830078","3.0766658782958984"
"1459","57.5","57","58","3.0206761360168457","2.9707446098327637","3.0706076622009277"
"1460","59.5","59","60","2.9284067153930664","2.861851692199707","2.994961738586426"
"1461","61.5","61","62","2.9971855878829956","2.983093738555908","3.011277437210083"
"1462","63.5","63","64","2.8667564392089844","2.855160713195801","2.878352165222168"
"1463","65.5","65","66","2.9229248762130737","2.9103548526763916","2.935494899749756"
"1464","67.5","67","68","3.0279167890548706","3.0191268920898438","3.0367066860198975"
"1465","69.5","69","70","2.971464157104492","2.938235282897949","3.004693031311035"
"1466","71.5","71","72","2.928826332092285","2.9104301929473877","2.9472224712371826"
"1467","73.5","73","74","2.940609931945801","2.866819381713867","3.0144004821777344"
"1468","75.5","75","76","2.945983409881592","2.9326703548431396","2.959296464920044"
"1469","77.5","77","78","2.9356608390808105","2.928051471710205","2.943270206451416"
"1470","79.5","79","80","2.8887298107147217","2.8227176666259766","2.954741954803467"
"1471","81.5","81","82","2.9207884073257446","2.9065475463867188","2.9350292682647705"
"1472","83.5","83","84","2.9737366437911987","2.958284854888916","2.9891884326934814"
"1473","85.5","85","86","2.9153891801834106","2.8907010555267334","2.940077304840088"
"1474","87.5","87","88","2.8926602602005005","2.847029685974121","2.93829083442688"
"1475","89.5","89","90","2.9016209840774536","2.896721124649048","2.9065208435058594"
"1476","91.5","91","92","2.8907713890075684","2.85189151763916","2.9296512603759766"
"1477","93.5","93","94","2.85857617855072","2.8246583938598633","2.892493963241577"
"1478","95.5","95","96","2.9213931560516357","2.8530056476593018","2.9897806644439697"
"1479","97.5","97","98","2.7973430156707764","2.7388663291931152","2.8558197021484375"
"1480","99.5","99","100","2.8153032064437866","2.7626442909240723","2.867962121963501"
"1481","101.5","101","102","2.835555911064148","2.833723306655884","2.837388515472412"
"1482","103.5","103","104","2.8412665128707886","2.7935829162597656","2.8889501094818115"
"1483","105.5","105","106","2.7842923402786255","2.7693569660186768","2.799227714538574"
"1484","107.5","107","108","2.8883211612701416","2.8657970428466797","2.9108452796936035"
"1485","109.5","109","110","2.7901047468185425","2.786217451095581","2.793992042541504"
"1486","111.5","111","112","2.8210588693618774","2.78401517868042","2.858102560043335"
"1487","113.5","113","114","2.873949646949768","2.8320045471191406","2.9158947467803955"
"1488","115.5","115","116","2.78467333316803","2.7657151222229004","2.803631544113159"
"1489","117.5","117","118","2.757411241531372","2.7112746238708496","2.8035478591918945"
"1490","119.5","119","120","2.741066813468933","2.626645088195801","2.8554885387420654"
"1491","121.5","121","122","2.735961437225342","2.659292459487915","2.8126304149627686"
"1492","123.5","123","124","2.8346720933914185","2.804464817047119","2.8648793697357178"
"1493","125.5","125","126","2.8446154594421387","2.8062186241149902","2.883012294769287"
"1494","127.5","127","128","2.80605411529541","2.8015146255493164","2.810593605041504"
"1495","129.5","129","130","2.7842259407043457","2.697227954864502","2.8712239265441895"
"1496","131.5","131","132","2.850216031074524","2.838646411895752","2.861785650253296"
"1497","133.5","133","134","2.7852227687835693","2.7540125846862793","2.8164329528808594"
"1498","135.5","135","136","2.850558638572693","2.8265485763549805","2.8745687007904053"
"1499","137.5","137","138","2.7209086418151855","2.633734941482544","2.808082342147827"
"1500","139.5","139","140","2.7853786945343018","2.757171869277954","2.8135855197906494"
"1501","141.5","141","142","2.6606792211532593","2.6214439868927","2.6999144554138184"
"1502","143.5","143","144","2.767004370689392","2.6915905475616455","2.8424181938171387"
"1503","145.5","145","146","2.7230255603790283","2.695850133895874","2.7502009868621826"
"1504","147.5","147","148","2.7047741413116455","2.694157600402832","2.715390682220459"
"1505","149.5","149","150","2.6865867376327515","2.680307388305664","2.692866086959839"
"1506","151.5","151","152","2.7287116050720215","2.6259372234344482","2.8314859867095947"
"1507","153.5","153","154","2.75421142578125","2.7025203704833984","2.8059024810791016"
"1508","155.5","155","156","2.7909260988235474","2.765918731689453","2.8159334659576416"
"1509","157.5","157","158","2.550516963005066","2.532275915145874","2.568758010864258"
"1510","159.5","159","160","2.79378879070282","2.76389479637146","2.8236827850341797"
"1511","161.5","161","162","2.7206565141677856","2.6045992374420166","2.8367137908935547"
"1512","163.5","163","164","2.7471981048583984","2.685962438583374","2.808433771133423"
"1513","165.5","165","166","2.638167381286621","2.5634889602661133","2.712845802307129"
"1514","167.5","167","168","2.6420512199401855","2.6317129135131836","2.6523895263671875"
"1515","169.5","169","170","2.6853270530700684","2.663698673248291","2.7069554328918457"
"1516","171.5","171","172","2.540569305419922","2.517348527908325","2.5637900829315186"
"1517","173.5","173","174","2.6768828630447388","2.656301259994507","2.6974644660949707"
"1518","175.5","175","176","2.5903183221817017","2.553217887878418","2.6274187564849854"
"1519","177.5","177","178","2.6816794872283936","2.6068716049194336","2.7564873695373535"
"1520","179.5","179","180","2.5947872400283813","2.5462520122528076","2.643322467803955"
"1521","181.5","181","182","2.5863674879074097","2.5799965858459473","2.592738389968872"
"1522","183.5","183","184","2.6672998666763306","2.6455624103546143","2.689037322998047"
"1523","185.5","185","186","2.6449244022369385","2.6106133460998535","2.6792354583740234"
"1524","187.5","187","188","2.6995749473571777","2.666203737258911","2.7329461574554443"
"1525","189.5","189","190","2.636375308036804","2.6214776039123535","2.651273012161255"
"1526","191.5","191","192","2.6199944019317627","2.6015748977661133","2.638413906097412"
"1527","193.5","193","194","2.6795929670333862","2.5575692653656006","2.801616668701172"
"1528","195.5","195","196","2.6004310846328735","2.561397075653076","2.639465093612671"
"1529","197.5","197","198","2.561269760131836","2.5181446075439453","2.6043949127197266"
"1530","199.5","199","200","2.6044676303863525","2.589322805404663","2.619612455368042"
"1531","201.5","201","202","2.521209955215454","2.483254909515381","2.5591650009155273"
"1532","203.5","203","204","2.6758272647857666","2.6535186767578125","2.6981358528137207"
"1533","205.5","205","206","2.6011983156204224","2.4911317825317383","2.7112648487091064"
"1534","207.5","207","208","2.494688868522644","2.4892425537109375","2.5001351833343506"
"1535","209.5","209","210","2.5633593797683716","2.5595500469207764","2.567168712615967"
"1536","211.5","211","212","2.6016316413879395","2.5262889862060547","2.676974296569824"
