"total_tokens","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - global_loss","recur1b-mig-234 - global_loss__MIN","recur1b-mig-234 - global_loss__MAX"
"2999975936","0","0","0","4.288774490356445","4.288774490356445","4.288774490356445"
"3001024512","1","1","1","6.355069637298584","6.355069637298584","6.355069637298584"
"3002073088","2","2","2","9.225202560424805","9.225202560424805","9.225202560424805"
"3003121664","3","3","3","9.335796356201172","9.335796356201172","9.335796356201172"
"3004170240","4","4","4","7.370745658874512","7.370745658874512","7.370745658874512"
"3005218816","5","5","5","7.465297698974609","7.465297698974609","7.465297698974609"
"3006267392","6","6","6","6.759446144104004","6.759446144104004","6.759446144104004"
"3007315968","7","7","7","6.758941650390625","6.758941650390625","6.758941650390625"
"3008364544","8","8","8","6.777932167053223","6.777932167053223","6.777932167053223"
"3009413120","9","9","9","6.885481357574463","6.885481357574463","6.885481357574463"
"3010461696","10","10","10","6.123654365539551","6.123654365539551","6.123654365539551"
"3011510272","11","11","11","6.323592185974121","6.323592185974121","6.323592185974121"
"3012558848","12","12","12","6.050966262817383","6.050966262817383","6.050966262817383"
"3013607424","13","13","13","6.098298072814941","6.098298072814941","6.098298072814941"
"3014656000","14","14","14","5.840054512023926","5.840054512023926","5.840054512023926"
"3015704576","15","15","15","5.903604030609131","5.903604030609131","5.903604030609131"
"3016753152","16","16","16","5.73763370513916","5.73763370513916","5.73763370513916"
"3017801728","17","17","17","5.7936296463012695","5.7936296463012695","5.7936296463012695"
"3018850304","18","18","18","5.654911994934082","5.654911994934082","5.654911994934082"
"3019898880","19","19","19","5.65745210647583","5.65745210647583","5.65745210647583"
"3020947456","20","20","20","4.818945407867432","4.818945407867432","4.818945407867432"
"3021996032","21","21","21","4.977350234985352","4.977350234985352","4.977350234985352"
"3023044608","22","22","22","4.328733444213867","4.328733444213867","4.328733444213867"
"3024093184","23","23","23","4.430181503295898","4.430181503295898","4.430181503295898"
"3025141760","24","24","24","4.0694580078125","4.0694580078125","4.0694580078125"
"3026190336","25","25","25","3.9781289100646973","3.9781289100646973","3.9781289100646973"
"3027238912","26","26","26","3.7018258571624756","3.7018258571624756","3.7018258571624756"
"3028287488","27","27","27","3.7426726818084717","3.7426726818084717","3.7426726818084717"
"3029336064","28","28","28","3.5760669708251953","3.5760669708251953","3.5760669708251953"
"3030384640","29","29","29","3.6546003818511963","3.6546003818511963","3.6546003818511963"
"3031433216","30","30","30","3.5138161182403564","3.5138161182403564","3.5138161182403564"
"3032481792","31","31","31","3.558652639389038","3.558652639389038","3.558652639389038"
"3033530368","32","32","32","3.3761050701141357","3.3761050701141357","3.3761050701141357"
"3034578944","33","33","33","3.4461541175842285","3.4461541175842285","3.4461541175842285"
"3035627520","34","34","34","3.3836216926574707","3.3836216926574707","3.3836216926574707"
"3036676096","35","35","35","3.245819091796875","3.245819091796875","3.245819091796875"
"3037724672","36","36","36","3.276062488555908","3.276062488555908","3.276062488555908"
"3038773248","37","37","37","3.2076547145843506","3.2076547145843506","3.2076547145843506"
"3039821824","38","38","38","3.1380696296691895","3.1380696296691895","3.1380696296691895"
"3040870400","39","39","39","3.143883466720581","3.143883466720581","3.143883466720581"
"3041918976","40","40","40","3.123180389404297","3.123180389404297","3.123180389404297"
"3042967552","41","41","41","3.316330671310425","3.316330671310425","3.316330671310425"
"3044016128","42","42","42","3.0708556175231934","3.0708556175231934","3.0708556175231934"
"3045064704","43","43","43","3.1630566120147705","3.1630566120147705","3.1630566120147705"
