"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - word_embed_l2_param_norm","recur1b-mig-234 - word_embed_l2_param_norm__MIN","recur1b-mig-234 - word_embed_l2_param_norm__MAX"
"1431","1","1","1","151.3059539794922","151.3059539794922","151.3059539794922"
"1432","3","3","3","151.30792236328125","151.30792236328125","151.30792236328125"
"1433","5","5","5","151.3070068359375","151.3070068359375","151.3070068359375"
"1434","7","7","7","151.303955078125","151.303955078125","151.303955078125"
"1435","9","9","9","151.30068969726562","151.30068969726562","151.30068969726562"
"1436","11","11","11","151.2960662841797","151.2960662841797","151.2960662841797"
"1437","13","13","13","151.2889404296875","151.2889404296875","151.2889404296875"
"1438","15","15","15","151.2806854248047","151.2806854248047","151.2806854248047"
"1439","17","17","17","151.2722930908203","151.2722930908203","151.2722930908203"
"1440","19","19","19","151.26315307617188","151.26315307617188","151.26315307617188"
"1441","21","21","21","151.252685546875","151.252685546875","151.252685546875"
"1442","23","23","23","151.2442169189453","151.2442169189453","151.2442169189453"
"1443","25","25","25","151.2378387451172","151.2378387451172","151.2378387451172"
"1444","27","27","27","151.23085021972656","151.23085021972656","151.23085021972656"
"1445","29","29","29","151.2269287109375","151.2269287109375","151.2269287109375"
"1446","31","31","31","151.2248992919922","151.2248992919922","151.2248992919922"
"1447","33","33","33","151.22317504882812","151.22317504882812","151.22317504882812"
"1448","35","35","35","151.22531127929688","151.22531127929688","151.22531127929688"
"1449","37","37","37","151.22503662109375","151.22503662109375","151.22503662109375"
"1450","39","39","39","151.2290496826172","151.2290496826172","151.2290496826172"
"1451","41","41","41","151.2322540283203","151.2322540283203","151.2322540283203"
"1452","43","43","43","151.2337188720703","151.2337188720703","151.2337188720703"
"1453","45","45","45","151.24085998535156","151.24085998535156","151.24085998535156"
"1454","47","47","47","151.24569702148438","151.24569702148438","151.24569702148438"
"1455","49","49","49","151.25131225585938","151.25131225585938","151.25131225585938"
"1456","51","51","51","151.25885009765625","151.25885009765625","151.25885009765625"
"1457","53","53","53","151.26412963867188","151.26412963867188","151.26412963867188"
"1458","55","55","55","151.27198791503906","151.27198791503906","151.27198791503906"
"1459","57","57","57","151.27943420410156","151.27943420410156","151.27943420410156"
"1460","59","59","59","151.28579711914062","151.28579711914062","151.28579711914062"
"1461","61","61","61","151.2943572998047","151.2943572998047","151.2943572998047"
"1462","63","63","63","151.30091857910156","151.30091857910156","151.30091857910156"
"1463","65","65","65","151.3098907470703","151.3098907470703","151.3098907470703"
"1464","67","67","67","151.31781005859375","151.31781005859375","151.31781005859375"
"1465","69","69","69","151.32562255859375","151.32562255859375","151.32562255859375"
"1466","71","71","71","151.33383178710938","151.33383178710938","151.33383178710938"
"1467","73","73","73","151.34222412109375","151.34222412109375","151.34222412109375"
"1468","75","75","75","151.35000610351562","151.35000610351562","151.35000610351562"
"1469","77","77","77","151.35842895507812","151.35842895507812","151.35842895507812"
"1470","79","79","79","151.36619567871094","151.36619567871094","151.36619567871094"
"1471","81","81","81","151.37477111816406","151.37477111816406","151.37477111816406"
"1472","83","83","83","151.38311767578125","151.38311767578125","151.38311767578125"
"1473","85","85","85","151.39137268066406","151.39137268066406","151.39137268066406"
